cluster,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,0.5433768400392542,0.801461345545742,-5.271774397557518,0.07368243375858684,0.06640500911787155,0.02528698214698506,0.24515589357758152,0.3857254388834369,131.77831228873623
1,0.7365884887127347,0.7245482509047044,-6.208821385490264,0.07448325004308116,0.14016048641909357,0.014702830373082888,0.15577410994313287,0.6716250732379804,114.30449302085128
2,0.6022804045770331,0.4295412985288108,-10.434527993461382,0.07248765835717204,0.5092945602247649,0.08705076136085002,0.1565130772374336,0.3912915427053535,112.48756763383734
3,0.6607452978056426,0.7832041536050157,-6.959429858934169,0.07177825235109718,0.07605604720219436,0.7473495297805643,0.1897155564263323,0.38638010971786835,125.07789420062697
4,0.7233702819956617,0.6675803470715835,-6.808513232104121,0.3117655097613883,0.1810078770065076,0.010128667976138829,0.20340279826464208,0.5487759219088937,122.34715878524946
